h_cdr1_charge,h_cdr1_hydrophobicity,h_cdr1_aggregation,h_cdr2_charge,h_cdr2_hydrophobicity,h_cdr2_aggregation,h_cdr3_charge,h_cdr3_hydrophobicity,h_cdr3_aggregation,l_cdr1_charge,l_cdr1_hydrophobicity,l_cdr1_aggregation,l_cdr2_charge,l_cdr2_hydrophobicity,l_cdr2_aggregation,l_cdr3_charge,l_cdr3_hydrophobicity,l_cdr3_aggregation,Tm
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,0,-0.5428571428571427,0.5428571428571428,1,-2.2,0.6333333333333333,67.3
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,0,-0.1571428571428572,0.5714285714285714,1,-2.2,0.6333333333333333,67.1
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,-1,-1.6285714285714286,0.5857142857142856,1,-2.2,0.6333333333333333,63.2
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-0.8375,0.6625,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,66.3
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.5,-1.125,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,65.1
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-0.8875,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,67.9
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,0,-0.8142857142857143,0.5714285714285714,1,-2.2,0.6333333333333333,63.8
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,0,-0.2,0.5571428571428572,1,-2.2,0.6333333333333333,64.8
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-0.8375,0.6625,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,67.1
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-0.8375,0.6625,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,64.1
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.5,-1.125,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,66.4
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.5,-1.125,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,65.3
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-0.8875,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,68.5
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.5,-1.125,0.6499999999999999,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,65.8
-1,-0.38,0.6799999999999999,0,-0.90625,0.65625,0.0,-1.1625,0.6375,1.5,-0.9545454545454546,0.5727272727272728,0,-0.857142857142857,0.5571428571428572,1,-2.2,0.6333333333333333,62.6
